,°í°´ID,SUB_CUST_ID,FMLY_RELN_CODE
0,21564,20967,13
1,20672,6462,12
2,1342,12929,17
3,19239,18556,13
4,1649,13961,13
5,15039,13961,13
6,15963,5767,14
7,10455,15377,12
8,12657,17146,99
9,12921,19488,13
10,10985,10986,14
11,9790,19390,14
12,10221,16258,13
13,20267,14629,14
14,21575,5934,17
15,6504,2839,13
16,14300,14405,12
17,20534,12708,14
18,14611,11714,13
19,15028,15015,17
20,3547,5105,13
21,3363,15070,14
22,1068,14981,17
23,5844,11785,13
24,20882,6532,12
25,17963,13530,12
26,4372,11834,13
27,21022,5968,14
28,15525,5218,13
29,18368,8499,14
30,1696,3990,16
31,16131,14705,14
32,4502,3129,12
33,14487,16787,17
34,9963,10560,17
35,5949,22242,99
36,17331,8408,14
37,2187,18102,13
38,10097,5622,12
39,14981,10744,14
40,14845,16596,13
41,8335,11804,13
42,11546,14610,14
43,9454,12735,14
44,16134,19757,14
45,13530,17963,12
46,3534,10221,17
47,5887,10221,99
48,8347,21277,13
49,4182,17598,17
50,8620,1893,12
51,3709,3190,13
52,525,5841,14
53,13961,1649,14
54,12469,11299,13
55,8228,11749,12
56,14038,8338,14
57,8058,8132,99
58,8113,560,99
59,12825,1600,13
60,10932,11723,13
61,11306,2891,12
62,9542,2482,18
63,21346,21705,12
64,5887,3534,99
65,1567,1696,13
66,14558,21168,12
67,2993,10926,14
68,11398,15244,14
69,9848,16964,14
70,21916,1933,17
71,7217,7831,99
72,5852,4923,13
73,3408,1525,13
74,18537,7413,12
75,14725,8058,17
76,16989,11721,13
77,16012,19209,14
78,17574,4182,99
79,5949,18165,13
80,7710,6053,12
81,1909,11633,13
82,14786,810,13
83,16787,14487,17
84,9963,3990,14
85,16853,12428,17
86,19193,18333,13
87,5218,15525,14
88,9790,19317,14
89,15836,7036,12
90,22034,12277,17
91,7803,14817,14
92,10837,21738,14
93,772,5368,12
94,1188,13644,13
95,257,15188,16
96,12640,12082,13
97,14629,20267,13
98,12504,3720,17
99,1086,1109,12
100,15010,3567,99
101,14986,12728,17
102,5767,15963,13
103,17717,4471,12
104,22161,9098,13
105,19652,4003,14
106,2760,2695,12
107,19209,16012,13
108,14650,3418,12
109,14981,1068,17
110,3611,18394,13
111,17057,19277,17
112,16099,20684,12
113,18165,5949,14
114,8058,5949,16
115,19774,17551,12
116,10897,6519,14
117,4824,7636,14
118,14817,7803,13
119,2839,6504,14
120,15188,257,15
121,9326,5816,14
122,10560,1696,13
123,12957,9790,17
124,20967,21564,14
125,12390,13918,13
126,11633,1909,14
127,12894,1336,99
128,15244,11398,13
129,16772,21387,17
130,18165,8058,99
131,2593,11479,12
132,15700,19130,14
133,17983,18699,14
134,10228,13441,13
135,3741,8621,15
136,12204,1212,12
137,1567,9963,17
138,17598,4182,17
139,4181,20539,13
140,560,8113,99
141,5368,772,12
142,4664,21481,14
143,985,10293,14
144,4965,17021,14
145,2051,17724,13
146,5949,14725,17
147,12329,4658,13
148,8058,22242,99
149,361,15873,12
150,12848,5119,13
151,6485,8665,13
152,11557,4927,12
153,18699,17983,13
154,8775,2601,13
155,13441,12539,14
156,19130,15700,13
157,17752,19960,13
158,17574,17598,99
159,3716,1962,17
160,12929,1342,17
161,8060,472,13
162,20676,5782,14
163,11723,10932,14
164,21459,21972,13
165,22211,22080,17
166,16112,16012,12
167,11749,8228,12
168,1212,12204,12
169,15070,3363,13
170,1897,2589,12
171,10221,3534,17
172,9963,1696,13
173,18102,2187,14
174,10857,9790,13
175,12495,5225,13
176,13558,18107,13
177,985,16781,17
178,20572,12960,14
179,19651,13918,12
180,15113,19640,17
181,10573,6191,13
182,1733,6191,13
183,13644,1188,14
184,7036,15836,12
185,18333,19193,14
186,13143,22182,12
187,10744,14981,13
188,10251,11785,13
189,19495,17196,12
190,13263,19941,13
191,472,8060,14
192,11785,10251,14
193,14682,9247,13
194,15015,15028,17
195,1600,12825,14
196,4658,12329,14
197,16809,16926,17
198,4909,15724,12
199,17021,4965,13
200,11721,16989,14
201,13189,6565,12
202,7424,19538,14
203,22242,14725,14
204,11299,12469,14
205,13918,12390,14
206,19277,14095,13
207,9247,14682,14
208,22052,16568,12
209,11368,21396,13
210,12708,20534,13
211,6519,10897,13
212,19757,16134,13
213,5445,17732,99
214,5841,525,13
215,21972,21459,14
216,10074,12382,17
217,14610,11546,13
218,17146,12657,99
219,21481,4664,13
220,9790,10857,14
221,18165,8132,99
222,13179,6208,12
223,18394,12478,14
224,4927,11557,12
225,22080,22211,17
226,9918,939,17
227,17574,11703,13
228,10926,2993,13
229,14095,19277,14
230,1962,3716,17
231,1011,257,13
232,12007,14023,12
233,19317,9790,13
234,16438,9133,14
235,4923,5852,14
236,4183,21448,17
237,13987,19313,14
238,939,9918,17
239,21448,4183,17
240,20684,16099,12
241,12382,10074,17
242,19960,17752,14
243,10337,1121,13
244,20165,20276,12
245,19640,15113,17
246,5225,12495,14
247,13411,20220,13
248,4003,19652,13
249,18352,21309,14
250,12390,19651,13
251,1696,9963,14
252,10560,9963,17
253,12277,22034,17
254,110,8661,14
255,3418,14650,12
256,8132,18165,99
257,21387,16772,17
258,11703,17574,14
259,16527,22258,12
260,15724,4909,12
261,14705,16131,13
262,12428,16853,17
263,285,15250,16
264,14725,22242,13
265,11834,4372,14
266,10603,17380,13
267,18405,18283,12
268,11785,5844,14
269,17380,10603,14
270,19538,7424,13
271,1696,1567,14
272,9963,1567,17
273,15761,12867,17
274,21738,10837,13
275,14690,16363,13
276,19230,17942,13
277,8408,17331,13
278,16012,16112,12
279,19209,16112,13
280,10930,11221,12
281,14023,12007,12
282,7413,18537,12
283,2589,1897,12
284,2810,7178,12
285,12645,2996,12
286,5949,8132,99
287,1906,8636,13
288,5685,20685,13
289,3852,2012,14
290,14725,5949,17
291,15873,361,12
292,8629,14679,13
293,12960,20572,13
294,9790,12957,17
295,7636,4824,13
296,10293,985,13
297,3129,4502,12
298,257,1011,14
299,9108,21820,14
300,21309,18352,13
301,13918,19651,12
302,9133,16438,13
303,10986,10985,13
304,3190,3709,14
305,21401,4965,13
306,1525,3408,14
307,545,7250,12
308,15250,285,15
309,21401,17021,99
310,8058,14725,17
311,18107,13558,14
312,1109,1086,12
313,18165,22242,99
314,19651,12390,14
315,12082,12640,14
316,5968,21022,13
317,19488,12921,14
318,11714,14611,14
319,19277,17057,17
320,14095,17057,14
321,5622,10097,12
322,17317,22156,12
323,20220,13411,14
324,13506,8104,14
325,17942,19230,14
326,21396,11368,14
327,6132,3567,99
328,15176,21615,16
329,7250,545,12
330,6208,13179,12
331,22156,17317,12
332,7178,2810,12
333,6191,10573,14
334,2012,3852,13
335,2482,9542,99
336,4965,21401,14
337,8104,13506,13
338,12478,18394,13
339,12867,15761,17
340,13441,10228,14
341,21820,9108,13
342,21705,21346,12
343,3720,12504,17
344,6053,7710,12
345,5119,12848,14
346,4603,3630,14
347,16781,985,17
348,19313,13987,13
349,21277,8347,14
350,16964,9848,13
351,11804,8335,14
352,1121,10337,14
353,10140,10178,17
354,6532,20882,12
355,16596,14845,14
356,3990,9963,13
357,16112,19209,14
358,8621,3741,16
359,8338,14038,13
360,18556,19239,14
361,2601,8775,14
362,8661,110,13
363,18394,3611,14
364,1893,8620,12
365,2695,2760,12
366,8279,6085,12
367,16781,10293,14
368,16926,16809,17
369,6565,13189,12
370,1696,10560,14
371,19546,10491,17
372,8665,6485,14
373,17057,14095,13
374,5816,9326,13
375,20276,20165,12
376,17551,19774,12
377,15377,10455,12
378,16258,10221,14
379,5934,21575,17
380,14679,8629,14
381,5105,3547,14
382,2996,12645,12
383,11221,10930,12
384,21880,20987,12
385,18283,18405,12
386,20987,21880,12
387,14,17262,14
388,3630,4603,13
389,17021,21401,99
390,21901,11562,99
391,2891,11306,12
392,12728,14986,17
393,20539,4181,14
394,11479,2593,12
395,6462,20672,12
396,22182,13143,12
397,17262,14,13
398,3990,1696,15
399,19390,9790,13
400,13961,15039,14
401,16568,22052,12
402,22258,16527,12
403,10178,10140,17
404,4471,17717,12
405,10293,16781,13
406,17724,2051,14
407,5782,20676,13
408,1933,21916,17
409,5949,8058,15
410,8499,18368,13
411,12539,13441,13
412,17196,19495,12
413,20685,5685,14
414,14405,14300,12
415,12735,9454,13
416,16363,14690,14
417,6085,8279,12
418,8636,1906,14
419,10491,19546,17
420,9098,22161,14
421,6191,1733,14
422,810,14786,14
423,21168,14558,12
424,19941,13263,14
425,21615,15176,15
